Predictor,Group,LaTeX
pr,atmospheric,P
spi06,atmospheric,SPI$_\text{06}$
spi12,atmospheric,SPI$_\text{12}$
spimin,atmospheric,SPI$_\text{min}$
spei06,atmospheric,SPEI$_\text{06}$
spei12,atmospheric,SPEI$_\text{12}$
speimin,atmospheric,SPEI$_\text{min}$
swb,atmospheric,SWB
tasmin,atmospheric,"T$_\text{as,min}$"
tasmean,atmospheric,"T$_\text{as,mean}$"
tasmax,atmospheric,"T$_\text{as,max}$"
vpdmean,atmospheric,VPD$_\text{mean}$
vpdmax,atmospheric,VPD$_\text{max}$
npp_before,vegetation_structure_and_productivity,NPP$_\text{t-1a}$
npp_biome4_before,modelled_productivity,"NPP$_\text{BIOME4,t-1a}$"
npp_biome4,modelled_productivity,NPP$_\text{BIOME4}$
ndvi_before,vegetation_structure_and_productivity,NDVI$_\text{t-1a}$
osavi_before,vegetation_structure_and_productivity,OSAVI$_\text{t-1a}$
Lightning_clim,ignition_sources,Lightning$_\text{climate}$
gHM,ignition_sources,Human modification
nightlights,ignition_sources,Light pollution
aspect,terrain,Aspect
slope,terrain,Slope
tpi,terrain,TPI
canopyheight,vegetation_structure_and_productivity,Canopy height
continentality_conrad,atmospheric,Contenitality (Conrad)
n_biomes,biome_shift,N biomes
n_biome_shifts,biome_shift,N biome shifts
share_not_main_biome,biome_shift,Share not main biome
share_not_expected_biome,biome_shift,Share not expected biome
npp_pft_1_norm_slope,biome_shift,NPP(PFT1) slope
npp_pft_2_norm_slope,biome_shift,NPP(PFT2) slope
npp_pft_3_norm_slope,biome_shift,NPP(PFT3) slope
npp_pft_4_norm_slope,biome_shift,NPP(PFT4) slope
npp_pft_5_norm_slope,biome_shift,NPP(PFT5) slope
npp_pft_6_norm_slope,biome_shift,NPP(PFT6) slope
npp_pft_7_norm_slope,biome_shift,NPP(PFT7) slope
npp_pft_8_norm_slope,biome_shift,NPP(PFT8) slope
npp_pft_9_norm_slope,biome_shift,NPP(PFT9) slope
npp_pft_10_norm_slope,biome_shift,NPP(PFT10) slope
npp_pft_11_norm_slope,biome_shift,NPP(PFT11) slope
npp_pft_12_norm_slope,biome_shift,NPP(PFT12) slope
npp_pft_13_norm_slope,biome_shift,NPP(PFT13) slope
npp_pft_1_norm_diff,biome_shift,$\Delta$NPP(PFT1)
npp_pft_2_norm_diff,biome_shift,$\Delta$NPP(PFT2)
npp_pft_3_norm_diff,biome_shift,$\Delta$NPP(PFT3)
npp_pft_4_norm_diff,biome_shift,$\Delta$NPP(PFT4)
npp_pft_5_norm_diff,biome_shift,$\Delta$NPP(PFT5)
npp_pft_6_norm_diff,biome_shift,$\Delta$NPP(PFT6)
npp_pft_7_norm_diff,biome_shift,$\Delta$NPP(PFT7)
npp_pft_8_norm_diff,biome_shift,$\Delta$NPP(PFT8)
npp_pft_9_norm_diff,biome_shift,$\Delta$NPP(PFT9)
npp_pft_10_norm_diff,biome_shift,$\Delta$NPP(PFT10)
npp_pft_11_norm_diff,biome_shift,$\Delta$NPP(PFT11)
npp_pft_12_norm_diff,biome_shift,$\Delta$NPP(PFT12)
npp_pft_13_norm_diff,biome_shift,$\Delta$NPP(PFT13)
biome_dominant_pft_npp,modelled_productivity,NPP$_\text{dominant PFT}$
pr_diff,atmospheric,$\Delta$P
swb_diff,atmospheric,$\Delta$SWB
tasmean_diff,atmospheric,"$\Delta$T$_\text{as,mean}$"
vpd_diff,atmospheric,$\Delta$VPD
pr_clim,atmospheric,P$_\text{climate}$
swb_clim,atmospheric,SWB$_\text{climate}$
tasmean_clim,atmospheric,"T$_\text{as,mean,climate}$"
vpd_clim,atmospheric,VPD$_\text{climate}$
